# aris_PSv14k1_v3.1.0, 30 March 2022,,,,,,,,,,,,,,,,,,,,,,,,,
# Preseparator solution with no compression (k=1) and 2-doublets in place of CIQT4,,,,,,,,,,,,,,,,,,,,,,,,,,
#   WIQ4,5,7 swap occured where WIQ7 has sext and oct off (i.e. not allowed),,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
# Below are field gradients for each  magnetic beam rigidity (Brho),,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
# Format of data described as follows:,,,,,,,,,,,,,,,,,,,,,,,,,,
#  (Lines starting with # are comments. Values are comma delimited.),,,,,,,,,,,,,,,,,,,,,,,,,,
# First non-comment row is string that signifies format version,,,,,,,,,,,,,,,,,,,,,,,,,,
# Next row has column names and Brho values [T-m] corresponding to field settings,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rows that follow have element name; radii R [m]; n-multipole order; currents at Brho1; Brho2; etc.,,,,,,,,,,,,,,,,,,,,,,,,,,
# Definition of gradient:  GRAD = B-field/R^(n-1)  =>  field gradient [T/m^(n-1)]; n=1 dipole; n=2 quad; etc.,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#       R = bend radius for n=1; multipole reference radius R for n>1   (referred to as pole-tip radius in COSY manual),,,,,,,,,,,,,,,,,,,,,,,,,,
# name; radius; multipole order; Brho1; Brho2; etc.,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
#-----,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_F1S1:OCT_D1148,0.2,4,0.178346,0.356693,0.535039,0.713385,0.891732,1.070078,1.248424,1.426771,1.605117,1.797846,2.010517,2.230448,2.455533,2.683666,2.912743,3.140659,3.365325,3.585636,3.801998,4.014941,4.224997,4.432699,4.638578,4.843166
FS_F1S1:Q_D1170,0.2,2,4.682677,9.368999,14.06949,19.400455,24.128576,29.889217,34.732835,39.829629,45.826245,50.962565,55.910695,60.915925,66.998175,72.074923,77.125763,82.694752,87.849065,92.95336,98.087397,102.928029,109.099238,114.31487,119.555387,124.814792
FS_F1S1:S_D1170,0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS_F1S1:OCT_D1170,0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS_F1S2:Q_D1195,0.1937,2,1.637207,3.274612,4.912209,6.549997,8.187993,9.826148,11.464488,13.103038,14.741779,16.380682,18.01977,19.659044,21.298589,22.938334,24.578056,26.217947,27.858006,29.498236,31.138773,32.759384,34.345432,35.923131,37.493169,39.056236
FS_F1S2:S_D1195,0.1937,3,0.195514,0.391029,0.586543,0.782058,0.977572,1.173086,1.368601,1.564115,1.75963,1.955144,2.150658,2.346173,2.541687,2.737201,2.932716,3.12823,3.323745,3.519259,3.714773,3.910288,4.105802,4.301317,4.496831,4.693994
FS_F1S2:OCT_D1195,0.1937,4,0.070332,0.140664,0.210996,0.281327,0.351659,0.421991,0.492323,0.562655,0.632987,0.703319,0.773651,0.843982,0.914314,0.984646,1.054978,1.12531,1.195642,1.265974,1.336305,1.406637,1.476969,1.547301,1.617633,1.687965
FS_F1S2:Q_D1207,0.1937,2,7.095607,14.225749,21.383186,28.425366,35.413107,42.725742,49.634776,56.705116,63.742908,70.913665,77.778951,84.857004,92.261849,99.350904,106.535375,113.731373,120.950424,128.441571,135.859598,143.201211,151.007,158.556915,166.402564,174.448313
FS_F1S2:S_D1207,0.1937,3,-0.023758,-0.047516,-0.071273,-0.095031,-0.118789,-0.142547,-0.166304,-0.190062,-0.21382,-0.237578,-0.261335,-0.285093,-0.308851,-0.332609,-0.356366,-0.380124,-0.403882,-0.42764,-0.451398,-0.475155,-0.498913,-0.522671,-0.546429,-0.570186
FS_F1S2:OCT_D1207,0.1937,4,-0.003545,-0.007091,-0.010636,-0.014182,-0.017727,-0.021273,-0.024818,-0.028364,-0.031909,-0.035455,-0.039,-0.042546,-0.046091,-0.049637,-0.053182,-0.056727,-0.060273,-0.063818,-0.067364,-0.070909,-0.074455,-0.078,-0.081546,-0.085091
FS_F1S2:Q_D1218,0.1937,2,-6.537593,-13.024354,-19.538644,-25.929594,-32.193155,-38.296525,-44.15208,-50.967265,-57.07777,-63.179002,-69.122234,-75.331136,-81.742229,-88.117824,-94.635391,-101.152997,-107.699259,-114.095363,-120.895315,-127.744354,-134.663218,-142.464059,-149.287363,-157.052372
FS_F1S2:S_D1218,0.1937,3,0.15901,0.318021,0.477031,0.636041,0.795051,0.954062,1.113072,1.272082,1.431092,1.590103,1.749113,1.908123,2.067133,2.226144,2.385154,2.544164,2.703174,2.862185,3.021195,3.180205,3.339215,3.498226,3.657236,3.816246
FS_F1S2:OCT_D1218,0.1937,4,0.06189,0.123779,0.185669,0.247559,0.309449,0.371338,0.433228,0.495118,0.557007,0.618897,0.680787,0.742677,0.804566,0.866456,0.928346,0.990235,1.052125,1.114015,1.175905,1.237794,1.299684,1.361574,1.423463,1.485353
FS_F1S2:Q_D1288,0.1937,2,2.048047,4.025679,5.835882,8.45947,10.748938,11.519704,13.877357,16.416665,18.494346,19.594938,22.184992,23.983053,25.60812,27.660077,29.453549,31.299022,33.335222,35.063265,36.961817,39.476786,40.563415,42.219876,44.241374,46.452418
FS_F1S2:S_D1288,0.1937,3,-0.397706,-0.795412,-1.193118,-1.590824,-1.98853,-2.386236,-2.783942,-3.181648,-3.579354,-3.97706,-4.374766,-4.770205,-5.161934,-5.552581,-5.942504,-6.332062,-6.721611,-7.111511,-7.502118,-7.89379,-8.286886,-8.681763,-9.078779,-9.478256
FS_F1S2:OCT_D1288,0.1937,4,-0.060454,-0.120907,-0.181361,-0.241815,-0.302268,-0.362722,-0.423175,-0.483629,-0.544083,-0.604536,-0.66499,-0.725444,-0.785897,-0.846351,-0.906805,-0.967258,-1.027712,-1.088166,-1.148619,-1.209073,-1.269526,-1.32998,-1.390434,-1.450887
FS_F1S2:Q_D1299,0.1937,2,-3.297704,-6.592485,-9.767556,-13.588125,-17.677702,-20.019564,-24.392593,-28.429705,-31.460507,-34.378033,-38.579342,-41.932979,-45.327707,-48.893289,-52.280378,-55.813171,-59.457296,-62.780641,-66.258531,-70.660439,-73.545292,-76.31247,-80.459155,-84.169832
FS_F1S2:S_D1299,0.1937,3,0.318391,0.636782,0.955173,1.273564,1.591955,1.910346,2.228737,2.547128,2.865519,3.183909,3.5023,3.820691,4.139483,4.46102,4.783279,5.106175,5.429622,5.753534,6.077827,6.402415,6.727211,7.052131,7.377089,7.702
FS_F1S2:OCT_D1299,0.1937,4,0.061888,0.123777,0.185665,0.247554,0.309442,0.37133,0.433219,0.495107,0.556995,0.618884,0.680772,0.742661,0.804549,0.866437,0.928326,0.990214,1.052103,1.113991,1.175879,1.237768,1.299656,1.361545,1.423433,1.485321
FS_F1S2:Q_D1311,0.1937,2,2.193756,4.274792,6.436338,8.30081,11.147734,12.68462,15.800946,17.885055,19.104758,21.586911,23.764967,25.775581,28.07308,30.150976,32.211285,34.472256,36.465842,38.708337,40.735776,43.647735,45.029998,46.41949,49.277591,51.273146
FS_F1S2:S_D1311,0.1937,3,-0.361155,-0.722311,-1.083466,-1.444621,-1.805776,-2.166932,-2.528087,-2.889242,-3.250397,-3.611553,-3.972708,-4.333863,-4.696213,-5.062773,-5.430531,-5.799341,-6.169056,-6.53953,-6.910616,-7.282168,-7.65404,-8.026085,-8.398158,-8.770111
